# GENERATED — do not hand-edit. Rebuilt from the app's activity feed by
# src/ledger.py on every run; anything typed here is overwritten.
#
# This was a hand-maintained file until 2026-08-18. It fell three days behind
# and the report offered a budget 39.69M larger than the real one, so it is
# derived now. Git history is the audit trail.
#
# `from`/`to` name the pool as one side of every deal: the feed reports only
# the manager who acted, and a manager-to-manager transfer does not appear as
# a paired buy and sell, so the counterparty genuinely cannot be recovered.
# Ownership, prices and premiums are unaffected.
date,player,player_id,from,to,price,note
2026-08-15T22:24,Mario Martín,2640,market,SusoGattuso,3831432,from the app
2026-08-15T22:24,Riedel,2785,market,SusoGattuso,4599626,from the app
2026-08-15T22:24,Buonanotte,3151,market,Albert Laporta,7331515,from the app
2026-08-16T22:24,Paredes,2315,market,BurtonGM89,5350000,from the app
2026-08-16T22:24,Huijsen,2530,market,BurtonGM89,32901000,from the app
2026-08-16T22:26,E. Militão,2426,BurtonGM89,market,12012022,from the app
2026-08-17T00:20,Eriksson,3018,miguel_autentico,market,3121862,from the app
2026-08-17T00:21,Rubén García,652,miguel_autentico,market,15202722,from the app
2026-08-17T22:24,Leo Román,3109,market,SusoGattuso,37157570,from the app
2026-08-17T22:24,Tenaglia,1337,market,BurtonGM89,14992195,from the app
2026-08-17T22:28,Quagliata,2963,BurtonGM89,market,2951083,from the app
2026-08-17T22:29,Gorrotxa,2621,BurtonGM89,market,6655879,from the app
2026-08-18T07:26,Villalibre,3022,Albert Laporta,market,7235234,from the app
2026-08-18T22:24,Isi,2382,market,SusoGattuso,20144326,from the app
2026-08-18T22:24,Angeliño,3142,market,Albert Laporta,15537090,from the app
2026-08-18T22:24,Marcos Alonso,3123,market,miguel_autentico,28589508,from the app
2026-08-18T22:28,Szczesny,2783,SusoGattuso,market,2133987,from the app
2026-08-19T00:18,A. Ferllo,2975,miguel_autentico,market,4759903,from the app
2026-08-19T19:37,Arda Güler,1674,Albert Laporta,market,54175985,from the app
2026-08-19T20:05,Dani Lorenzo,3036,miguel_autentico,market,8939207,from the app
2026-08-19T22:24,Peque,2455,market,BurtonGM89,2046753,from the app
2026-08-19T22:25,Huijsen,2530,BurtonGM89,market,37379004,from the app
2026-08-19T23:12,Q. Hartman,3098,BurtonGM89,market,8474875,from the app
2026-08-20T00:01,Isi,2382,SusoGattuso,market,22371647,from the app
2026-08-20T00:01,Mario Martín,2640,SusoGattuso,market,4048567,from the app
2026-08-20T01:05,Turrientes,1215,miguel_autentico,market,7074690,from the app
2026-08-20T22:24,Canales,3125,market,BurtonGM89,25451762,from the app
2026-08-20T22:24,David Soria,184,market,BurtonGM89,23000005,from the app
2026-08-20T22:24,Aubameyang,3108,market,Albert Laporta,39599999,from the app
2026-08-20T22:25,Ilaix Moriba,2607,Albert Laporta,market,10310693,from the app
2026-08-20T22:25,Ayoze,2504,Albert Laporta,market,17574652,from the app
2026-08-20T22:29,Foyth,2470,Albert Laporta,market,14842141,from the app
2026-08-21T14:05,Dmitrovic,2507,BurtonGM89,market,38211810,from the app
2026-08-21T22:24,Barrios,1565,market,BurtonGM89,44000101,from the app
2026-08-21T22:24,Javi Rueda,2714,market,BurtonGM89,4421896,from the app
2026-08-21T22:32,Etta Eyong,2700,BurtonGM89,market,24701983,from the app
2026-08-21T22:33,Buchanan,2556,BurtonGM89,market,15275869,from the app
2026-08-22T22:24,Nteka,2386,market,BurtonGM89,1451000,from the app
2026-08-23T06:48,De Haas,3120,BurtonGM89,market,9288154,from the app
2026-08-23T22:24,Febas,2295,market,Albert Laporta,24014509,from the app
2026-08-23T22:24,Miguel Sierra,2746,market,BurtonGM89,943698,from the app
2026-08-23T22:24,Unai Lopez,2384,market,Albert Laporta,7001101,from the app
2026-08-23T22:24,Dani Lorenzo,3036,market,Albert Laporta,9541604,from the app
2026-08-23T22:24,M. Román,2639,market,miguel_autentico,5307217,from the app
2026-08-23T22:24,Guido Rodríguez,3128,market,miguel_autentico,23240392,from the app
2026-08-23T22:25,De Galarreta,1070,miguel_autentico,market,13907495,from the app
2026-08-23T22:29,Yuri,74,SusoGattuso,market,10986147,from the app
2026-08-24T19:00,A. Abqar,2776,SusoGattuso,market,7244489,from the app
2026-08-24T22:24,Gerard Martín,2757,market,BurtonGM89,39580232,from the app
2026-08-24T22:26,Canales,3125,BurtonGM89,market,28631668,from the app
2026-08-24T22:26,Javi Rueda,2714,BurtonGM89,market,4323981,from the app
2026-08-24T22:47,Camavinga,1300,Albert Laporta,market,9341829,from the app
2026-08-25T22:24,Natan,2543,market,miguel_autentico,37492727,from the app
2026-08-25T22:24,Cala,3105,market,BurtonGM89,4498179,from the app
2026-08-26T06:52,Le Normand,255,miguel_autentico,market,13069406,from the app
2026-08-26T06:52,Moncayola,637,miguel_autentico,market,6905684,from the app
2026-08-26T06:54,Zubeldia,265,miguel_autentico,market,9677942,from the app
2026-08-26T22:38,Vlachodimos,2759,market,SusoGattuso,23458652,from the app
2026-08-26T22:38,T. Martínez,3078,market,SusoGattuso,28027217,from the app
2026-08-26T22:44,Mouriño,1959,Albert Laporta,market,34071059,from the app
2026-08-27T22:24,Moleiro,3086,market,Albert Laporta,59911108,from the app
2026-08-27T23:19,Johnny,2480,SusoGattuso,market,4717010,from the app
2026-08-27T23:21,Leo Román,3109,SusoGattuso,market,41798125,from the app
2026-08-28T10:08,Ferran Jutglà,2603,Albert Laporta,market,9767995,from the app
2026-08-28T10:23,Angeliño,3142,Albert Laporta,market,13888127,from the app
2026-08-28T22:24,Arguibide,2846,market,SusoGattuso,1000040,from the app
2026-08-28T22:24,Fran García,2429,market,SusoGattuso,13921111,from the app
2026-08-28T22:24,Nuñez,2930,market,SusoGattuso,6768414,from the app
2026-08-29T21:56,Raúl Moro,2923,Albert Laporta,market,14347582,from the app
2026-08-29T22:24,Moi Gómez,680,market,miguel_autentico,1861155,from the app
2026-08-29T22:24,Mantilla,2999,market,miguel_autentico,2300305,from the app
2026-08-29T22:24,Ali Houary,3190,market,miguel_autentico,1777400,from the app
2026-08-29T22:36,Buonanotte,3151,Albert Laporta,market,5437365,from the app
2026-08-30T18:40,Andrés Martín,3073,SusoGattuso,market,22144643,from the app
2026-08-30T22:19,C. Romero,2614,BurtonGM89,market,38718632,from the app
2026-08-30T22:19,Comesaña,1031,BurtonGM89,market,27506202,from the app
2026-08-30T22:24,Valverde,2430,market,BurtonGM89,73100000,from the app
2026-08-30T22:24,Kang-In Lee,3193,market,Albert Laporta,54250001,from the app
2026-08-30T23:10,Guido Rodríguez,3128,miguel_autentico,market,26435616,from the app
2026-08-31T21:42,Moleiro,3086,Albert Laporta,market,59125858,from the app
2026-08-31T22:28,Navarro,2549,market,Albert Laporta,1800001,from the app
2026-08-31T22:28,Lucas Boyé,2768,market,Albert Laporta,13650001,from the app
2026-09-01T05:12,Nteka,2386,BurtonGM89,market,1439122,from the app
2026-09-01T22:24,Enes Ünal,3154,market,SusoGattuso,17627897,from the app
2026-09-01T22:24,Foyth,2470,market,SusoGattuso,18982574,from the app
2026-09-01T22:26,Riedel,2785,SusoGattuso,market,6280445,from the app
